name,address,zip,food_type,average_price
10pin bowling lounge ,330 N State St,60610,"American (Traditional), Bar Food",7.33
25 Degrees ,736 N Clark St,60610,"Burgers, Wine Bar",8.5
Ai Japanese Restaurant & Lounge  (CLOSED),358 W Ontario St,60610,"Japanese, Sushi",7.99
Al's Beef ,169 W Ontario,60654,"Burgers, Sandwiches",3.91
Al's No 1 Italian Beef ,169 W Ontario St,60610,"Hot Dogs, Italian, Sandwiches, Burgers",4.37
Allium ,120 E Delaware Pl,60611,"American (New), Local/Organic",13.94
American Junkie ,15 W Illinois St,60654,"American (New), Gastropub",11.02
Andy's Jazz Club ,11 E Hubbard St,60610,American (Traditional),16.32
Argent ,660 N State St,60610,American (New),11.3
Argo Tea ,871 N Wabash St,60611,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea ,222 Merchandise Mart Plz,60654,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea Cafe ,819 N Rush St,60611,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Armando's ,222 Merchandise Mart Plz,60654,Italian,8.62
Artisan Cellar ,222 Merchandise Mart Plz,60654,"Wine Bar, Sandwiches",0
Ay Chiwowa ,311 W Chicago Ave,60654,Mexican,10.91
Baba Palace ,334 W Chicago Ave,60610,"Indian, Pakistani, Vegetarian-Friendly",2.62
BadHappy Poutine Shop ,939 N Orleans St,60610,"Bar Food, Other, Local/Organic",10.58
Bar Louie ,335 N Dearborn St,60654,"American (Traditional), Bar Food",9.88
Bar Toma ,110 E Pearson St,60611,"Pizza, Italian, Small Plates/Tapas",11.55
Bar Umbriago  (CLOSED),6 W Hubbard St,60654,"Italian, Small Plates/Tapas, Wine Bar",12.18
Barcito ,151 W Erie St,60654,"Spanish, Small Plates/Tapas",9.49
Barnelli's Pasta Bowl ,100 W Ontario St,60610,"Italian, Hot Dogs, Pizza",8.67
Baume & Brix  (CLOSED),351 W Hubbard St,60654,American (New),13.55
Bavette's Bar & Bouef ,218 W Kinzie St,60654,"American (New), Steakhouses",22.08
Beatrix ,519 N Clark St,60654,American (New),8.45
Bel 50  (CLOSED),738 N Clark St,60654,Sandwiches,6.22
Bella Luna Cafe ,731 N Dearborn St,60610,"Italian, Pizza",11.37
Benny's Chop House ,444 N Wabash Ave,60611,"Steakhouses, Seafood",17.48
Bernard's Bar ,11 E Walton St,60611,Other,54.97
Big & Little's ,860 N Orleans St,60610,"Burgers, Hot Dogs, Seafood",6.35
Big Bowl Cafe ,60 E Ohio St,60611,"Chinese, Thai, Noodle Shops",10.0
Bijan's Bistro ,663 N State St,60610,"American (New), French, Bistro",9.26
Billy Goat Grill ,222 Merchandise Mart Plz,60654,"American (Traditional), Burgers",3.53
